"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4877","Validate checkout page responsiveness","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","6668","Search product with another valid keyword","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3651","Validate login page shown for order history access","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","2079","Validate homepage logo visibility","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3445","Validate shopping cart page heading","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","6733","Forgot password navigation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","4202","Validate checkout page logo visibility","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","1136","Validate Computers page heading","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","1022","Validate search box visibility on compare page","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","1111","Validate compare page body visibility","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","2228","Email required field validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","1392","Validate compare products page heading","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","2714","Validate search button visibility","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3755","Validate cart page loads successfully","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","5683","Login with empty email and password","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2672","Search product with valid keyword using POM","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","2677","Password textbox visibility validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2874","Forgot password page navigation validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2605","Validate payment information page is not accessible with empty cart","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","3665","Validate cart page content visibility","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","1877","Validate Electronics category page","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","9161","Validate compare page refresh behavior","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","3969","Validate checkout page content wrapper visibility","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","6670","Validate checkout page loads successfully","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","3457","Validate cart page header visibility","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","4053","Validate cart page responsiveness","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","5520","Validate checkout page header visibility","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","5509","Open checkout page using POM","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","3020","Search product with empty keyword","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","1832","Validate Apparel category page","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3969","Validate checkout page body visibility","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","3567","Validate cart page contains shopping cart text","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","2529","Validate compare page content wrapper visibility","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","2309","Validate search textbox visibility","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","6825","Validate footer visibility on checkout page","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","2339","Validate order history redirects to login page","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","3734","Validate homepage logo visibility on cart page","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","4060","Navigate to Computers category","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","2246","Open compare products page using POM","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","3965","Validate payment confirmation page is protected without checkout flow","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","1983","Validate homepage title","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","2313","Email textbox visibility validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","3549","Validate search result page opens","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","2067","Validate cart page navigation from direct URL","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","1643","Validate compare page contains compare text","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","4483","Validate checkout redirects to shopping cart when cart is empty","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
