"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","Validate compare page refresh behavior","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","448","Email textbox accepts valid email input","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","737","Login with invalid credentials using POM","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2226","Validate cart page URL","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","476","Validate homepage title","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2230","Validate checkout page responsiveness","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","479","Login with empty email and password","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","13085","Validate checkout redirect page refresh behavior","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","433","Password textbox accepts input","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","414","Validate search textbox visibility","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","304","Open compare products page using POM","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","467","Remember me checkbox validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","656","Search product with valid keyword using POM","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
